Drug Name	Disease Name
alpha-phenylcyclopentylacetic acid	Bradycardia
desflurane	Reperfusion Injury|Hypertension|Myocardial Ischemia
acetophenazine	Hyperkinesis|Heart Diseases
14-dehydroxy-3-glucodigitoxigenin	Heart Failure
kaempferol-3-O-galactoside	Edema
Histamine H2 Antagonists	Laryngopharyngeal Reflux|Mastocytosis, Systemic|Zollinger-Ellison Syndrome|Stomach Ulcer
quinocetone	Salmonella Infections|Escherichia coli Infections
4-imino-1,3-diazabicyclo(3.1.0)hexan-2-one	Multiple Myeloma
idelalisib	Leukemia, Lymphoid|Lymphoma
SA 3443	Liver Failure, Acute|Drug-Induced Liver Injury
telmisartan	Acute Kidney Injury|Reperfusion Injury|Diabetic Nephropathies|Metabolic Syndrome X|Glomerulosclerosis, Focal Segmental|Vascular Diseases|Fibrosis|Heart Failure|Cardiomegaly|Atherosclerosis|Insulin Resistance|Diabetes Mellitus, Experimental|Myocardial Infarction|Weight Gain|Necrosis|Colitis|Diabetes Mellitus, Type 2|Glomerulonephritis|Atrial Fibrillation|Kidney Diseases|Cadmium Poisoning|Weight Loss|Hypertrophy, Left Ventricular|Ventricular Dysfunction, Left|Drug-Induced Liver Injury|Diabetes Mellitus|Obesity|Hyperglycemia|Albuminuria|Brain Ischemia|Edema|Bacterial Infections|Hypertension|Proteinuria|Hemorrhage|Fatty Liver|Heart Diseases
strontium ranelate	Osteoporosis
lawsone	Paresthesia|Foot Dermatoses|Hand Dermatoses
Glutathione	Seizures|Movement Disorders|Cardiomyopathies|Nervous System Diseases|Hematuria|Abnormalities, Severe Teratoid|Dyskinesia, Drug-Induced|Cystitis|Cystic Fibrosis|Ovarian Neoplasms|Drug-Related Side Effects and Adverse Reactions|Kidney Diseases|Urinary Bladder Diseases|Mercury Poisoning|Drug-Induced Liver Injury|Carcinoma, Squamous Cell|Liver Neoplasms|Methemoglobinemia|Edema|Dermatitis, Contact|Hypertension|Hemolysis|Mercury Poisoning, Nervous System|Hemorrhage|Neurotoxicity Syndromes|Heart Diseases
WEB 2086	Hypercholesterolemia|Hypoalbuminemia|Proteinuria
xaliproden	Neurobehavioral Manifestations|Peripheral Nervous System Diseases|Nerve Degeneration|Brain Injuries
quinidine, verapamil drug combination	Atrial Fibrillation
Gliclazide	Myocardial Infarction|Diabetic Nephropathies|Insulin Resistance|Diabetes Mellitus, Experimental|Diabetes Mellitus|Hyperglycemia|Hyperinsulinism|Diabetes Mellitus, Type 2
L 655,708	Memory Disorders
cloperastine	Neurobehavioral Manifestations
Methylergonovine	Postpartum Hemorrhage|Uterine Hemorrhage|Headache
triazulenone	Sleep Disorders
MOF-Strep protocol	Colonic Neoplasms
Methacholine Chloride	Ventricular Fibrillation|Hypersensitivity
RS 67333	Hyperkinesis|Memory Disorders
ABT-769	Seizures
