Drug Name	Gene Symbol
Ketotifen	PGD|PDE7B|HRH1|PDE4A|PDE4B|PDE4C|PDE4D|PDE8A|PDE8B
Ephedra	SLC6A3|SLC6A2|SLC6A4|MAOA|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|SLC18A2|MAOB
2-(CARBOXYMETHYL)-1-OXO-1,2-DIHYDRONAPHTHO[1,2-D]ISOTHIAZOLE-4-CARBOXYLIC ACID 3,3-DIOXIDE	AKR1B1
Pentanal	PRKACA
Indecainide	SCN5A
N-[7-(3-AMINOPHENYL)-5-METHOXY-1,3-BENZOXAZOL-2-YL]-2,5-DICHLOROBENZENESULFONAMIDE	FBP1
H TYPE II TRISACCHARIDE	ABO
Caffeine	ADORA1|PDE3A|ATM|PRKDC|PDE9A|ADORA2A|PDE1C|PIK3CA|PIK3CB|PIK3CD|PDE3B|PDE7B|PDE5A|ITPR2|ITPR3|ITPR1|PDE10A|PDE8B|PDE2A|PDE6B|RYR1|PDE6A|PDE1B|PDE4A|PDE4B|PDE4C|PDE4D|PDE1A|PDE8A
alpha-D-Xylopyranose	LCT
Phosphatidylserine	PTDSS1|PTDSS2|SMPD4|PISD|SCARB1|ATP8A1|PRKCA|SMPD3|DGKG|DGKD
3-Methylfentanyl	OPRK1|OPRM1|OPRD1
Dalfampridine	KCND3|KCND2|KCNC1|KCNC2|KCNC3|KCNB1|KCNA10|KCNB2|KCNA6|KCNA4|KCNA5|KCNA2|KCNA3|KCNA1
Inositol 1,3,4,5-Tetrakisphosphate	ITPKA|DAPP1|PLEKHA4|AKT1|PDPK1|CYTH3|CYTH2|BTK
Atenolol	ADRB1|ADRB2
WX-UK1	PLAUR
Adenosine-3'-5'-Diphosphate	RNASE1|SULT1B1|RNASE2|HS3ST1|SULT1A1|HS3ST3A1|SULT2B1|NDST1|SULT1E1|SULT2A1
3-({2-[(4-{[6-(CYCLOHEXYLMETHOXY)-9H-PURIN-2-YL]AMINO}PHENYL)SULFONYL]ETHYL}AMINO)PROPAN-1-OL	CCNA2
GV1001	TERT
Butanoic Acid	BCHE
Gemfibrozil	PPARA
S-8184	TUBA4A|BCL2
Dydrogesterone	PGR
5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE	HDAC8
Levonorgestrel	SRD5A1|AR|PGR|ESR1
Fenoprofen	PTGS2|PTGS1
Pipotiazine	DRD2|HTR2A|HTR1A|DRD1
Se-Ethyl-Isoselenourea	NOS3
Enflurane	GABRG3|GABRG2|GABRG1|GRIA1|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|ATP5D|ATP2C1|GABRA2|GLRB|KCNA1|KCNN4|GABRB1|GABRB2|GABRB3|GLRA1|GABRQ|GABRP|GABRE|GABRD
Cp-166572, 2-Hydroxymethyl-4-(4-N,N-Dimethylaminosulfonyl-1-Piperazino)-Pyrimidine	SORD
(5S)-2-{[(1S)-1-(4-fluorophenyl)ethyl]amino}-5-(1-hydroxy-1-methylethyl)-5-methyl-1,3-thiazol-4(5H)-one	HSD11B1
3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE	CDK2
Conivaptan	AVPR2|AVPR1A
Indomethacin	PTGS2|PTGS1|PTGDR2|PLA2G2A|PPARG|PPARA|GLO1
2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine	PRSS1
Oxymorphone	OPRM1|OPRD1
OCTANE-1,3,5,7-TETRACARBOXYLIC ACID	CPA1
Glycodiazine	KCNJ1|ABCC8
Tacrine	ACHE|BCHE
Diphemanil Methylsulfate	CHRM3
Methazolamide	CA2|CA1|CA4
Oxymetholone	AR|NPPB
Tasimelteon	MTNR1B|MTNR1A
(4aS,4bR,10bS,12aS)-12a-methyl-1,3-dioxo-2-(pyridin-3-ylmethyl)-1,2,3,4,4a,4b,5,6,10b,11,12,12a-dodecahydronaphtho[2,1-f]isoquinolin-8-yl sulfamate	CA2
5-CYANO-FURAN-2-CARBOXYLIC ACID [5-HYDROXYMETHYL-2-(4-METHYL-PIPERIDIN-1-YL)-PHENYL]-AMIDE	CSF1R
(2R)-1-(2,6-dimethylphenoxy)propan-2-amine	PLAU
N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOXAZIN-4-YL]ETHYL}ACETAMIDE	REN
Glutathione	GSS|GSR|GSTA4|GSTA1|GSTA2|GSTA3|MGST3|MGST1|HAGH|GSTP1|LTC4S|GLO1|GGT1|GLRX2|GLRX|HPGDS|GSTO2|GSTO1|GSTT1|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|TXNDC12|GPX1|GPX3|GPX2|GPX4|GPX7|GSTZ1|GPX8|ESD|GSTK1
2'-Deoxyadenosine 5'-Triphosphate	POLB
4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One	CDK2
Menthol	OPRK1|TRPA1|TRPM8|TRPV3
Fudp	NME1
Butriptyline	SLC6A4|HTR2A|HRH1
L-Arginine	NOS2|NOS3|SLC7A1|ADC|ASS1|ARG2|ASL
Oxyphenbutazone	PLA2G2E
Desoximetasone	NR3C1
