Disease Name	Hormone Name	Interaction	Drug Name
###Hypertension###
Hypertension	Melatonin	inhibits	Amlodipine
Hypertension	Melatonin	inhibits	Felodipine
Hypertension	Calcitriol	inhibits	Nimodipine
Hypertension	Acetylcholine	side_effect	Acebutolol
Hypertension	Acetylcholine	side_effect	Esmolol
Hypertension	Melatonin	inhibits	Nisoldipine
Hypertension	Acetylcholine	side_effect	Metoprolol
Hypertension	Adenosine	side_effect	Digoxin
Hypertension	Acetylcholine	side_effect	Carvedilol
Hypertension	Calcitriol	activates	Digoxin
Hypertension	Calcitriol	activates	Theophylline
Hypertension	Melatonin	inhibits	Clevidipine
Hypertension	Estradiol	activates	Triamterene
Hypertension	Acetylcholine	side_effect	Pindolol
Hypertension	Acetylcholine	side_effect	Bisoprolol
Hypertension	Progesterone	inhibits	Metformin
Hypertension	Acetylcholine	side_effect	Labetalol
Hypertension	Calcitriol	activates	Magnesium Sulfate
Hypertension	Acetylcholine	side_effect	Timolol
Hypertension	Adenosine	side_effect	Dipyridamole
Hypertension	Acetylcholine	side_effect	Physostigmine
Hypertension	Melatonin	inhibits	Isradipine
Hypertension	Melatonin	inhibits	Nicardipine
Hypertension	Acetylcholine	side_effect	Penbutolol
Hypertension	Acetylcholine	side_effect	Propranolol
Hypertension	Melatonin	inhibits	Nifedipine
Hypertension	Estradiol	inhibits	Nimodipine
Hypertension	Estradiol	side_effect	Dehydroepiandrosterone
Hypertension	Acetylcholine	side_effect	Metipranolol
Hypertension	Progesterone	inhibits	Heparin
Hypertension	Melatonin	inhibits	Nimodipine
Hypertension	Acetylcholine	side_effect	Carteolol
Hypertension	Progesterone	activates	Verapamil
Hypertension	Acetylcholine	side_effect	Nebivolol
Hypertension	Acetylcholine	side_effect	Bendroflumethiazide
Hypertension	Acetylcholine	side_effect	Betaxolol
Hypertension	Acetylcholine	side_effect	Atenolol
Hypertension	Acetylcholine	side_effect	Nadolol
###Tachycardia###
Tachycardia	Acetylcholine	side_effect	Acebutolol
Tachycardia	Acetylcholine	side_effect	Esmolol
Tachycardia	Acetylcholine	side_effect	Sotalol
Tachycardia	Acetylcholine	side_effect	Metoprolol
Tachycardia	Adenosine	side_effect	Digoxin
Tachycardia	Acetylcholine	side_effect	Carvedilol
Tachycardia	Acetylcholine	side_effect	Levobunolol
Tachycardia	Progesterone	activates	Ranolazine
Tachycardia	Calcitriol	activates	Digoxin
Tachycardia	Acetylcholine	side_effect	Pindolol
Tachycardia	Acetylcholine	side_effect	Bisoprolol
Tachycardia	Acetylcholine	side_effect	Labetalol
Tachycardia	Calcitriol	activates	Magnesium Sulfate
Tachycardia	Acetylcholine	side_effect	Timolol
Tachycardia	Acetylcholine	side_effect	Physostigmine
Tachycardia	Melatonin	inhibits	Nicardipine
Tachycardia	Acetylcholine	side_effect	Propranolol
Tachycardia	Melatonin	inhibits	Nifedipine
Tachycardia	Acetylcholine	side_effect	Neostigmine
Tachycardia	Acetylcholine	side_effect	Metipranolol
Tachycardia	Acetylcholine	side_effect	Carteolol
Tachycardia	Progesterone	activates	Verapamil
Tachycardia	Acetylcholine	side_effect	Nebivolol
Tachycardia	Acetylcholine	side_effect	Atenolol
Tachycardia	Acetylcholine	side_effect	Nadolol
###Myocardial Infarction###
Myocardial Infarction	Progesterone	inhibits	Warfarin
Myocardial Infarction	Melatonin	inhibits	Amlodipine
Myocardial Infarction	Acetylcholine	side_effect	Sotalol
Myocardial Infarction	Melatonin	inhibits	Nisoldipine
Myocardial Infarction	Acetylcholine	side_effect	Metoprolol
Myocardial Infarction	Acetylcholine	side_effect	Carvedilol
Myocardial Infarction	Progesterone	inhibits	Phenindione
Myocardial Infarction	Estradiol	inhibits	Enoxaparin
Myocardial Infarction	Progesterone	inhibits	Enoxaparin
Myocardial Infarction	Acetylcholine	side_effect	Bisoprolol
Myocardial Infarction	Progesterone	inhibits	Metformin
Myocardial Infarction	Estradiol	inhibits	Phenindione
Myocardial Infarction	Acetylcholine	side_effect	Timolol
Myocardial Infarction	Adenosine	side_effect	Dipyridamole
Myocardial Infarction	Acetylcholine	side_effect	Donepezil
Myocardial Infarction	Acetylcholine	side_effect	Propranolol
Myocardial Infarction	Melatonin	inhibits	Nifedipine
Myocardial Infarction	Estradiol	inhibits	Gliclazide
Myocardial Infarction	Progesterone	inhibits	Gliclazide
Myocardial Infarction	Epinephrine	inhibits	Gliclazide
Myocardial Infarction	Progesterone	inhibits	Heparin
Myocardial Infarction	Progesterone	activates	Verapamil
Myocardial Infarction	Calcitriol	inhibits	Warfarin
Myocardial Infarction	Acetylcholine	side_effect	Atenolol
###Angina Pectoris###
Angina Pectoris	Melatonin	inhibits	Amlodipine
Angina Pectoris	Melatonin	inhibits	Felodipine
Angina Pectoris	Acetylcholine	side_effect	Acebutolol
Angina Pectoris	Acetylcholine	side_effect	Sotalol
Angina Pectoris	Melatonin	inhibits	Nisoldipine
Angina Pectoris	Acetylcholine	side_effect	Metoprolol
Angina Pectoris	Adenosine	side_effect	Digoxin
Angina Pectoris	Acetylcholine	side_effect	Carvedilol
Angina Pectoris	Progesterone	activates	Ranolazine
Angina Pectoris	Calcitriol	activates	Digoxin
Angina Pectoris	Acetylcholine	side_effect	Pindolol
Angina Pectoris	Acetylcholine	side_effect	Bisoprolol
Angina Pectoris	Acetylcholine	side_effect	Labetalol
Angina Pectoris	Acetylcholine	side_effect	Timolol
Angina Pectoris	Melatonin	inhibits	Isradipine
Angina Pectoris	Melatonin	inhibits	Nicardipine
Angina Pectoris	Calcitriol	activates	Aminophylline
Angina Pectoris	Acetylcholine	side_effect	Propranolol
Angina Pectoris	Melatonin	inhibits	Nifedipine
Angina Pectoris	Progesterone	inhibits	Heparin
Angina Pectoris	Progesterone	activates	Verapamil
Angina Pectoris	Acetylcholine	side_effect	Betaxolol
Angina Pectoris	Acetylcholine	side_effect	Atenolol
###Diabetes Mellitus, Type 2###
Diabetes Mellitus, Type 2	Estradiol	inhibits	Canagliflozin
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Glyburide
Diabetes Mellitus, Type 2	Estradiol	inhibits	Chlorpropamide
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Chlorpropamide
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Vildagliptin
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Insulin Aspart
Diabetes Mellitus, Type 2	Progesterone	inhibits	Metformin
Diabetes Mellitus, Type 2	Progesterone	inhibits	Glyburide
Diabetes Mellitus, Type 2	Progesterone	inhibits	Canagliflozin
Diabetes Mellitus, Type 2	Estradiol	inhibits	Glyburide
Diabetes Mellitus, Type 2	Estradiol	inhibits	Vildagliptin
Diabetes Mellitus, Type 2	Estradiol	inhibits	Gliclazide
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Canagliflozin
Diabetes Mellitus, Type 2	Progesterone	inhibits	Gliclazide
Diabetes Mellitus, Type 2	Estradiol	inhibits	Insulin Aspart
Diabetes Mellitus, Type 2	Calcitriol	inhibits	Saxagliptin
Diabetes Mellitus, Type 2	Progesterone	inhibits	Chlorpropamide
Diabetes Mellitus, Type 2	Epinephrine	inhibits	Gliclazide
Diabetes Mellitus, Type 2	Progesterone	inhibits	Saxagliptin
Diabetes Mellitus, Type 2	Progesterone	inhibits	Vildagliptin
Diabetes Mellitus, Type 2	Progesterone	inhibits	Tolbutamide
Diabetes Mellitus, Type 2	Progesterone	inhibits	Insulin Aspart
###Atrial Fibrillation###
Atrial Fibrillation	Progesterone	inhibits	Warfarin
Atrial Fibrillation	Acetylcholine	side_effect	Sotalol
Atrial Fibrillation	Acetylcholine	side_effect	Metoprolol
Atrial Fibrillation	Adenosine	side_effect	Digoxin
Atrial Fibrillation	Acetylcholine	side_effect	Carvedilol
Atrial Fibrillation	Progesterone	activates	Ranolazine
Atrial Fibrillation	Estradiol	inhibits	Enoxaparin
Atrial Fibrillation	Progesterone	inhibits	Enoxaparin
Atrial Fibrillation	Calcitriol	activates	Digoxin
Atrial Fibrillation	Acetylcholine	side_effect	Bisoprolol
Atrial Fibrillation	Acetylcholine	side_effect	Labetalol
Atrial Fibrillation	Acetylcholine	side_effect	Timolol
Atrial Fibrillation	Estradiol	inhibits	Acenocoumarol
