Disease Name	Gene Symbol
Hypertension	PTGS2|AOC3|FXYD2|ADD1|SLC6A2|STK11|TGM2|CD36|EPO|AGT|ADIPOQ|CAV1|RALBP1|CACNA1C|ADRA2A|SLC12A3|GLP1R|EDN1|EDN3|SCNN1B|NPR1|CETP|LHB|AQP1|MC2R|WNK1|WNK4|LPL|ATP2B1|ATP2B3|CACNA2D1|KCNMB1|ADCY5|CXCL2|FN1|AHR|PTEN|ACE2|TNF|CCL2|CRP|VDR|HP|TRPC5|NR3C1|ORAI1|COL3A1|APOA1|PLG|APOE|PTH|SCNN1G|GUCY1A3|HRH3|SCNN1A|HTR2B|NPPB|NPPA|TRH|IGF1|GCG|FOS|COL1A1|PPARG|CMA1|PPARA|F12|F11|TACR1|GJA1|GJA4|GSTT1|GNAS|VAV3|GCH1|HMOX1|INS|GPX1|CBS|CYBA|AGTR1|PROC|NCF1|ALAD|ACE|TGFB1|RPS6KB1|ERAP1|TRPC3|REN|GP1BA|TPM1|SERPINE1|PPBP|ICAM1|DUSP5|ELN|SLC12A2|GNB3|LEPR|MTOR|VCAM1|POMC|TP53|RELA|GJA5|CYP1A1|KCNJ1|BDKRB2|LEP|ADRB1|CTGF|ATP1A2|ATP1A1|GNRH1|CRHR2|STIM1|MDH1|AVP|CAT|ALOX15|ECE1|EDNRA|SOD2|SOD3|NPTN|ITM2B|SLC9A3R2|SOD1|GCLC|ADRBK1|GAL|HSD11B2|HSD11B1|ANXA1|NOS2|NOS3|UMOD|PRKCD|PLAT|CYBB|AR|AGTR2|UCP2|VWF|OLR1|SELP|DRD2|IER3|NEDD4L|MMP2|ABCC1|BCL2
Tachycardia	LEP|LHB|GCG|GNAS|VAV3|RYR2|DRD2|VIP|INS|AHR|HTR4|GAL|GNRH1|SCT|TRH|TNF
Myocardial Infarction	ACTA2|BCL2L1|TIMP2|ACE|CKB|CKM|HP|ATM|NOS2|BAX|PPARGC1A|EPO|NOS3|REN|PHACTR1|F13A1|IL1B|AGT|TNFRSF12A|S100B|APOE|HSPA5|PDE3A|GCLC|P2RY12|PSMA6|TNNI3|ICAM1|HSD11B2|LDHA|NPPA|TGFB1|NR3C2|ITGB3|DDIT3|BECN1|MYH7|KIF6|SH2B3|DAB2IP|CREB1|PAPPA|LTA|GCLM|PLAU|MIA3|LGALS2|THBD|F5|SELL|F2|BRAP|CASP3|OLR1|ESR1|IL10|IFNA2|LRP8|NRIP1|GSK3B|IL6|WDR12|GGT1|CREM|MMP9|PLN|TNFSF4|MMP2|TNF|BCL2
Angina Pectoris	AVP
Diabetes Mellitus, Type 2	BCL2L1|TIMP1|CDO1|PPARGC1A|AKT2|ZFAND3|SLC30A8|PAM|ADIPOQ|HMGA1|RETN|PROX1|EDN1|RELA|HMG20A|LIPC|SOD2|SNAP25|HK1|MAT1A|NKX6-1|ADCY5|CCND2|GRB14|SLC2A1|WFS1|SLC2A4|ATP2A2|ATP2A3|GLIS3|HP|NOS2|SLC2A2|NOS3|TCF7L2|EDNRA|EDNRB|CAPN10|SHBG|PEPD|OGG1|THADA|SIRT1|GCG|KCNK16|GCK|GCKR|IAPP|KCNQ1|PAX4|PAX6|VEGFA|PPARA|MTNR1B|PTPN1|UBE2E2|FTO|TNFRSF1B|PPARG|HNF4A|INS|MOK|CBS|TNF|JAZF1|BHMT|ICAM1|C3|NFKB1|S100A6|HHEX|GNB3|LEPR|IGF2BP2|MAPK8IP1|MAEA|CYP1A2|NEUROD1|VPS26A|SFRP4|GSTM1|TNFRSF1A|IRS1|IRS2|ID1|IL6|TGFB1|ST6GAL1|HMOX1|PSMD6|EGFR|CAT|AP3S2|CASP8|ECE1|GPD2|GPX1|FAS|SOD1|HNF1B|HNF1A|CPT1A|KCNJ11|HPX|PRKCB|CYBA|PDX1|HBA1|GCGR|UCP2|ENPP1|CASP3|NOTCH2|ABCC8|CDKAL1|ATF3|BCL2
Atrial Fibrillation	KCNE2|SCN5A|SOX5|ACE|WNT8A|NPPB|DES|HCN4|PRRX1|ZFHX3|SELE|EDN1|KCNN3|SYNE2|KCNA5|CAV2|VWF|NKX2-5|CAV1
Heart Failure	PTGS2|CRP|ATP2A1|ACE|NR3C2|ALB|XDH|EPHX2|HIF1A|CAT|NOX1|MAP2K7|NOX4|PIK3CG|IL1B|AGT|SERPINE1|FBLN5|TNNT2|ATP2A2|PTH|PRL|SOD1|PPARGC1A|ADRA2C|GATM|HTR2B|EDN1|APCS|GDF15|GSK3B|NPPB|NPPA|ITGB1|NPR1|NOS2|NOS3|SOD2|SOD3|RAC1|IFNG|REN|INS|CYBB|MSTN|TNF|VEGFA|POMC|CS|PLAT|VWF|SLC9A1|HMOX1|CXCL2|OLR1|TNFRSF1A|AVPR2|AVP|NRIP1|CSF2|CSF3|IL6|ADRB1|CTGF|ADRB3|ATP1A3|GPX4|PDPK1|AGTR1|PTGS1
Hypotension	ADORA1|ALB|NISCH|GRIA1|IL6|REN|IL1A|IL1B|INS|CRH|CNR1|ADORA2A|SLC9A3|PRL|ADRA2A|SCNN1G|OXT|VIP|HRH1|UCN|EDN3|NPPB|NPPA|PDYN|CTF1|SOD1|IFNG|PLAU|PLAT|ADRA1B|LTF|POMC|PNOC|FGF1|BDKRB2|KNG1|DRD2|DRD1|GRIN2B|MAOB|MAOA|TNF|IL2|TAC1|HTR1D|HTR1B
Seizures	PTGS2|SLC6A1|SLC6A2|CHRNA3|ACHE|BDNF|AGT|SLC30A1|PAM|MIB1|SOD2|PNKP|IMPA1|ADRA1B|HCN1|SLC2A1|NPY|SLC8A1|NGF|TRH|KCNJ11|CRH|HTR1A|ATP7A|ADORA2A|APOE|TSC2|MPDZ|TCF4|FOS|OXT|PRKCD|RBFOX1|SST|INS|SYN2|GAMT|ALAD|LETM1|POLG|GABRA5|IL1B|KCNA2|GAD2|CNR1|CDKL5|CHRNB4|IFNB1|ACAT1|SLC8A3|MECP2|GNB3|CHRNA4|CHRNA5|OPRM1|CHRNA7|POMC|CLU|CNNM2|GRIK1|IL6|SIGMAR1|FOXG1|CAT|NGFR|ABAT|MT3|APEX1|ABCC2|NOS1|NOS2|PIGM|CHRM1|OPRK1|NRP2|DRD2|DRD1|SLC1A1|HTR1B
Hyperalgesia	CCL2|PTGS2|NGF|MC1R|ITGA2|PTGS1|PTHLH|VIP|INSR|ALOX12|TRPA1|IL1A|IL1B|AGT|RAF1|P2RX3|CACNA1H|IL6|ADM|TAC1|PTGER1|P2RX2|MAPK3|SPARC|GAL|HTR2A|MAPK7|EDN1|TRPV4|TRPV1|CCKBR|NOS2|PDYN|CSK|ALOX5|PRKCE|CAMK2A|PRKCG|HOXD1|OPRM1|CNR2|SYN2|PNOC|CACNA2D1|TACR1|BDKRB1|IL1RN|BDKRB2|IL10|KNG1|AVP|DRD3|GRIN2B|MAPK1|NOS1|TNF|GDNF|CALCA|MPZ|MMP3
Hyperglycemia	PTGS2|LEPR|NOS3|GCG|SIM1|NFE2L2|GCK|PRKCB|AGER|INSR|FBN1|GPX1|IRS2|INS|SP1|COL3A1|HMGA1|HSD11B1
Postoperative Complications	NPPB|BCHE|POMC
Diabetic Nephropathies	CCL2|TGFB1|AOC3|ACE|TXNIP|VDAC2|VDAC1|SERPINE1|ADIPOQ|MDK|MIR145|DGKH|AXL|RELA|KDR|TGFBR2|NOS3|SOD2|PRKCE|TINAG|COL4A1|CNDP1|CNDP2|VEGFA|TNFAIP1|INS|TGFBI|ELMO1|GAS6
Venous Thromboembolism	F2|F5|SERPINC1|PLAT|TNF|PROC|FGA|SERPIND1
Acute Kidney Injury	TGFB1|HEXB|LCN2|AVP|NOS2|BAX|NQO1|SLC22A12|IL20|B2M|CCR5|SPP1|RAPGEF3|ATP5B|INS|TNFRSF12A|A2M|HSPA1A|CYP2D6|SLC11A1|SLC22A24|NFE2L2|GPNMB|FSTL1|UGT1A9|HBEGF|EDN1|CST3|NPPA|NOS3|MTHFR|CD44|PPARG|TNF|VEGFA|OCLN|CLU|TFF3|UGT1A1|CYP2C9|BDKRB2|TP53|IL10|IFNA2|GSTM2|G6PD|ALB|HBG2|GSK3B|GSTP1|CYP2C19|MPO|SIRT1|HAVCR1|GAS6
