Hormone Name	Gene Symbol
LTB4 dimethyl amide	LTB4R2|LTB4R|CYSLTR1
neuregulin-2	ERBB4
laminin-4	DAG1
5alpha-androstanediol	SHBG
laminin-1	RPSA
laminin-2	AGRN
AMF	AMFR
SEMA4D	PLXNB1|PLXNB2
retinoic acid	RXRB|RARG|RXRG
hemokinin	TACR1
Norepinephrine	ADRA2C|ADRB1|ADRA2B|ADRA1B|ADRA1A|ADRB2|ADRB3|ADRA2A|ADRA1D
relaxin-3	RXFP1|RXFP4|RXFP3
melanotropin beta	MC1R
GIP	GIPR
CXCL11	CXCR3
GH	PRLR
IGF-1B	IGF1R
progesterone	PGR
IFN-gamma	IFNGR2|IFNGR1
abeta42	FPR2
NPY	NPY5R
NPS	NPSR1
TNFSF12	TNFRSF12A
TNFSF10	TNFRSF10A|TNFRSF10D|TNFRSF10C|TNFRSF10B
TNFSF15	TNFRSF25|TNFRSF6B
TNFSF18	TNFRSF18
GAS-6	MERTK|TYRO3|AXL
APOE	LRP1|LDLR
Corticosterone	NR3C1|NR3C2
somatostatin	SSTR4|SSTR1|SSTR3|SSTR2
IgE	FCER2
norrin	LRP5|FZD4
PYY (1-36)	NPY2R
GRP	GRPR|BRS3
semaphorin 3E	PLXND1
Oxytocin-Neurophysin 1	AVPR1A|OXTR
ANG-1	TEK
NRG-1	ERBB3|ERBB2
VEGFC	KDR|FLT4
VEGFB	FLT1
persephin	GFRA4
IL-1 alpha	IL1R2
Epinephrine	ADRB1|ADRA1A|ADRB2|ADRB3
PGF2-alpha	PTGFR
Pregnenolone	NR3C1|NR1I2
insulin	INSR
NOV	NOTCH1
MCP-3	CCR2
oncostatin M	LIFR|OSMR
GHRH	GHRHR
netrin-1	UNC5A|UNC5B|NEO1|DCC|UNC5C
MDC	CCR4
PGI2	PTGIR
pancreatic polypeptide	NPY1R
laminin alpha-5 chain	BCAM|ITGA3
relaxin-2 isoform 1	RXFP2
Serotransferrin	TFRC|TFR2
OX40L	TNFRSF4
TNF-beta	LTBR
SP	NRP1|TACR3
Melatonin	ESR1|MTNR1B|MTNR1A
acetylcholine	CHRM5|CHRNG|CHRND|CHRNB1|CHRM3|CHRM2|CHRM4|CHRNA1
neurotrophin 3	NTRK3
GDF-8	ACVR2B
FLT3-Ligand	FLT3
G-CSF	CSF3R
CNTF	CNTFR
HGF	MET
uteroglobin-related protein 1	MARCO
urocortin	CRHR1|CRHR2
FGF-2	FGFRL1
ephrin-A4 secreted isoform	EPHA6
PYY(3-36)	NPY4R
IL-17B	IL17RB
WNT3A	FZD1
LIF	IGF2R
IL-17A	IL17RA
IL-9	IL9R
Wnt-7b	FZD10
IL-4	IL4R
IL-5	IL5RA
fas Ligand	FAS
IL-3	IL3RA
EGF	EGFR
thrombopoietin	MPL
PRL	GHR|PRLR
CXCL16	CXCR6
IFN-beta	IFNAR2
Cholesterol	RORA
cardiotrophin 1	IL6ST
L-glutamate	SLC1A3|SLC1A7|SLC1A2
IL-18	IL18RAP|IL18R1
calcium ions	CASR|LRP2
IL-15	IL15RA
IL-12	IL12RB1
IL-10	IL10RA
IL-11	IL11RA
ACTH	MC2R
VIP	VIPR1|VIPR2
IL-27B	IL27RA
NGF	NTRK1|TRPV1
CCL1	CCR8
lymphotactin	XCR1
APRIL	TNFRSF13B|TNFRSF17
ghrelin	GHSR
dynorphin A	OPRK1|OPRD1
metastin	KISS1R
NmU-25	NMUR2|NMUR1
SHH	PTCH1
neuropeptide gamma	TACR2
natural soluble CD5 form	CD72|CD5
nuclear factor from high endothelial venules	IL1RL1
urotensin-2	UTS2R
NODAL	ACVR1C|ACVR1B
glucagon	GCGR
LTE4	CYSLTR2
angiogenin	SDC4
